AÑO,CCAA_DESTINO,TIPO_VISITANTE_GROUP,TOTAL,TIPO_CCAA
2023,Castilla-La Mancha,Turista,130,Otra
2023,Cataluña,Turista,320,Tradicional
2023,Ceuta,Turista,3,Otra
2023,Comunidad Foral de Navarra,Turista,111,Otra
2023,Comunidad de Madrid,Turista,302,Otra
2023,Comunitat Valenciana,Turista,301,Otra
2023,Extremadura,Turista,142,Emergente
2023,Galicia,Turista,218,Emergente
2023,Illes Balears,Turista,233,Tradicional
2023,La Rioja,Turista,93,Emergente
2023,Melilla,Turista,9,Otra
2023,País Vasco,Turista,283,Emergente
2023,Principado de Asturias,Turista,165,Otra
2023,Región de Murcia,Turista,208,Otra
2024,Andalucía,Turista,293,Tradicional
2024,Aragón,Turista,175,Emergente
2024,Canarias,Turista,190,Tradicional
2024,Cantabria,Turista,166,Emergente
2024,Castilla y León,Turista,259,Emergente
2024,Castilla-La Mancha,Turista,138,Otra
2024,Cataluña,Turista,323,Tradicional
2024,Ceuta,Turista,4,Otra
2024,Comunidad Foral de Navarra,Turista,129,Otra
2024,Comunidad de Madrid,Turista,295,Otra
2024,Comunitat Valenciana,Turista,291,Otra
2024,Extremadura,Turista,115,Emergente
2024,Galicia,Turista,210,Emergente
2024,Illes Balears,Turista,224,Tradicional
2024,La Rioja,Turista,74,Emergente
2024,Melilla,Turista,3,Otra
2024,País Vasco,Turista,252,Emergente
2024,Principado de Asturias,Turista,146,Otra
2024,Región de Murcia,Turista,202,Otra
2025,Andalucía,Turista,126,Tradicional
2025,Aragón,Turista,78,Emergente
2025,Canarias,Turista,83,Tradicional
2025,Cantabria,Turista,57,Emergente
2025,Castilla y León,Turista,106,Emergente
2025,Castilla-La Mancha,Turista,60,Otra
2025,Cataluña,Turista,132,Tradicional
2025,Comunidad Foral de Navarra,Turista,52,Otra
2025,Comunidad de Madrid,Turista,114,Otra
2025,Comunitat Valenciana,Turista,121,Otra
2025,Extremadura,Turista,42,Emergente
2025,Galicia,Turista,85,Emergente
2025,Illes Balears,Turista,99,Tradicional
2025,La Rioja,Turista,28,Emergente
2025,Melilla,Turista,2,Otra
2025,País Vasco,Turista,111,Emergente
2025,Principado de Asturias,Turista,51,Otra
2025,Región de Murcia,Turista,83,Otra
