CATEGORIA,CCAA,PROVINCIA,VALORACION_POR_CATEGORIA,TOTAL_OPINIONES_CATEGORIA,VALORACION_GENERAL,TIPO_CATEGORIA,TIPO_CCAA
Museos,Andalucía,Granada,"4,37",6570,"4,42",Turismo Pausado,Tradicional
Museos,Andalucía,Huelva,"4,23",2123,"4,13",Turismo Pausado,Tradicional
Museos,Andalucía,Jaén,"4,27",2176,"4,36",Turismo Pausado,Tradicional
Museos,Andalucía,Málaga,"4,49",23176,"4,45",Turismo Pausado,Tradicional
Museos,Andalucía,Sevilla,"4,37",10632,"4,37",Turismo Pausado,Tradicional
Museos,Aragón,Huesca,"4,2",1959,"4,26",Turismo Pausado,Emergente
Museos,Aragón,Teruel,"4,24",934,"4,31",Turismo Pausado,Emergente
Museos,Aragón,Zaragoza,"4,55",3925,"4,22",Turismo Pausado,Emergente
Museos,Canarias,Las Palmas,"4,32",11297,"4,29",Turismo Pausado,Tradicional
Museos,Canarias,Santa Cruz de Tenerife,"4,3",4274,"4,3",Turismo Pausado,Tradicional
Museos,Cantabria,Cantabria,"4,35",6188,"4,3",Turismo Pausado,Emergente
Museos,Castilla - La Mancha,Albacete,"4,14",483,"4,17",Turismo Pausado,Otra
Museos,Castilla - La Mancha,Ciudad Real,"4,28",1201,"4,32",Turismo Pausado,Otra
Museos,Castilla - La Mancha,Cuenca,"4,5",2309,"4,25",Turismo Pausado,Otra
Museos,Castilla - La Mancha,Guadalajara,"4,32",503,"4,07",Turismo Pausado,Otra
Museos,Castilla - La Mancha,Toledo,"4,26",9502,"4,22",Turismo Pausado,Otra
Museos,Castilla y León,Burgos,"4,28",5090,"4,31",Turismo Pausado,Emergente
Museos,Castilla y León,León,"4,27",1859,"4,28",Turismo Pausado,Emergente
Museos,Castilla y León,Palencia,"4,57",1219,"4,35",Turismo Pausado,Emergente
Museos,Castilla y León,Salamanca,"4,31",2702,"4,19",Turismo Pausado,Emergente
Museos,Castilla y León,Segovia,"4,3",11244,"4,08",Turismo Pausado,Emergente
Museos,Castilla y León,Soria,"4,05",277,"3,95",Turismo Pausado,Emergente
Museos,Castilla y León,Valladolid,"4,33",3868,"4,07",Turismo Pausado,Emergente
Museos,Castilla y León,Zamora,"4,3",742,"4,23",Turismo Pausado,Emergente
Museos,Castilla y León,Ávila,"4,53",483,"4,28",Turismo Pausado,Emergente
Museos,Cataluña,Barcelona,"4,18",64132,"4,11",Turismo Pausado,Tradicional
Museos,Cataluña,Girona,"4,12",11086,"4,27",Turismo Pausado,Tradicional
Museos,Cataluña,Lleida,"4,34",1594,"4,29",Turismo Pausado,Tradicional
Museos,Cataluña,Tarragona,"4,37",2982,"4,23",Turismo Pausado,Tradicional
Museos,Comunidad Foral de Navarra,Navarra,"4,34",2232,"4,26",Turismo Pausado,Otra
Museos,Comunidad de Madrid,Madrid,"4,24",122351,"4,18",Turismo Pausado,Otra
Museos,Comunitat Valenciana,Alicante/Alacant,"4,23",6470,"4,3",Turismo Pausado,Otra
Museos,Comunitat Valenciana,Castellón/Castelló,"3,89",660,"4,26",Turismo Pausado,Otra
Museos,Comunitat Valenciana,Valencia/València,"4,27",28456,"4,19",Turismo Pausado,Otra
Museos,Extremadura,Badajoz,"4,27",2809,"4,3",Turismo Pausado,Emergente
Museos,Extremadura,Cáceres,"4,29",2770,"4,39",Turismo Pausado,Emergente
Museos,Galicia,A Coruña,"4,32",4680,"4,26",Turismo Pausado,Emergente
Museos,Galicia,Lugo,"4,41",1199,"4,3",Turismo Pausado,Emergente
Museos,Galicia,Ourense,"4,32",276,"4,19",Turismo Pausado,Emergente
Museos,Galicia,Pontevedra,"3,95",1722,"4,2",Turismo Pausado,Emergente
Museos,Illes Balears,Illes Balears,"4,12",7296,"4,36",Turismo Pausado,Tradicional
Museos,La Rioja,La Rioja,"4,14",763,"4,34",Turismo Pausado,Emergente
Museos,País Vasco,Araba/Álava,"4,41",673,"4,4",Turismo Pausado,Emergente
Museos,País Vasco,Bizkaia,"4,47",22513,"4,35",Turismo Pausado,Emergente
Museos,País Vasco,Gipuzkoa,"4,51",2694,"4,4",Turismo Pausado,Emergente
Museos,Principado de Asturias,Asturias,"4,41",10063,"4,39",Turismo Pausado,Otra
Museos,Región de Murcia,Murcia,"4,43",1044,"4,28",Turismo Pausado,Otra
Otros,Andalucía,Almería,"4,35",101,"4,27",Turismo Neutro,Tradicional
Otros,Andalucía,Cádiz,"4,14",126,"4,28",Turismo Neutro,Tradicional
Otros,Andalucía,Córdoba,"4,35",175,"4,33",Turismo Neutro,Tradicional
Otros,Andalucía,Granada,"4,43",54,"4,42",Turismo Neutro,Tradicional
Otros,Andalucía,Huelva,"4,17",61,"4,13",Turismo Neutro,Tradicional
Otros,Andalucía,Jaén,"4,22",335,"4,36",Turismo Neutro,Tradicional
Otros,Andalucía,Málaga,"4,26",441,"4,45",Turismo Neutro,Tradicional
Otros,Andalucía,Sevilla,"3,74",184,"4,37",Turismo Neutro,Tradicional
Otros,Aragón,Huesca,"4,0",1,"4,26",Turismo Neutro,Emergente
Otros,Aragón,Teruel,"4,03",2444,"4,31",Turismo Neutro,Emergente
Otros,Aragón,Zaragoza,"3,79",73,"4,22",Turismo Neutro,Emergente
Otros,Canarias,Las Palmas,"4,2",116,"4,29",Turismo Neutro,Tradicional
Otros,Canarias,Santa Cruz de Tenerife,"4,2",931,"4,3",Turismo Neutro,Tradicional
Otros,Cantabria,Cantabria,"4,29",114,"4,3",Turismo Neutro,Emergente
Otros,Castilla - La Mancha,Albacete,"3,4",27,"4,17",Turismo Neutro,Otra
Otros,Castilla - La Mancha,Ciudad Real,"4,21",78,"4,32",Turismo Neutro,Otra
Otros,Castilla - La Mancha,Cuenca,"4,46",1151,"4,25",Turismo Neutro,Otra
Otros,Castilla - La Mancha,Guadalajara,"3,83",13,"4,07",Turismo Neutro,Otra
Otros,Castilla - La Mancha,Toledo,"4,05",40,"4,22",Turismo Neutro,Otra
Otros,Castilla y León,Burgos,"4,53",161,"4,31",Turismo Neutro,Emergente
Otros,Castilla y León,León,"3,98",65,"4,28",Turismo Neutro,Emergente
Otros,Castilla y León,Palencia,"5,0",7,"4,35",Turismo Neutro,Emergente
Otros,Castilla y León,Salamanca,"4,17",247,"4,19",Turismo Neutro,Emergente
